acs-clean.co.uk	advanced cleaning technology ltd	01223 813475	info@advancedcleaningservices.co.uk
highfieldeventgroup.com	the highfield event group ltd	01638 743 860	info@thehighfieldgroup.co.uk
hungryfoody.com	Scotsdales: Garden Centre Dining Gem - HungryFoody	01223842777	
irisandviolet.shop	iris & violet	01223 359313	
ironingshop.co.uk	the ironing shop.	07920 092136	enquiries@ironingshop.co.uk
karensgrooming.co.uk	Dog groomer | Karen's Grooming	07803 548 573	karensgrooming@hotmail.co.uk
karimwellness.com	Cambridge acupressure and deep tissue massage therapy | Karim Wellness	07960830760	
kcskriscleaningservices.co.uk	Cleaning Services Cambridge, Newmarket & Ely | KCS Kris Cleaning Servi	01223 944046	
kindrednurseries.co.uk	Kindred Cambridge | Nursery & Preschool	01223 631 689	
kingswaycycles.com	Kingsway Cycles Central Cambridge :: Kingsway Cycles	01223 355852	
lifeonabikestore.co.uk	life on a bike	01223 576545	hello@lifeonabikestore.co.uk
lighthousetoys.com	cambridge lighthouse limited	01223 236596	
makespace.org	makespace	01223 324379	
medivetgroup.com	Vet in St Ives Cambridge | Open Saturdays | Medivet	01480 463170	
montessoricambridge.co.uk	Cambridge Montessori Nursery School / Independent Day Nursery in Cambr	01223 342572	office@montessoricambridge.co.uk
movefreechiropractic.co.uk	Top-Rated Cambridge Chiropractor | Chiropractic - Cambridge	07405 426244	
mylittlecleaning.co	my little cleaning company	01480 630 150	jennie@mylittlecleaningcompany.co.uk
oakingtondogdaycare.co.uk	Oakington Dog Day Care Centre, About	07729 677262;07762 434076	
offgriddesign.co.uk	off grid design ltd	01223 750565	jez@offgriddesign.co.uk
opencorpdata.com	Scotsdales Garden Centre & Nursery Fordham · Market St, Fordham, Ely C	01638 720455	
oxbowandpeach.co.uk	Oxbow and Peach	07749 408444	info@oxbowandpeach.co.uk
passionatepawsdog.com	Passionate Paws Dog Services in Cambridge	07487 587279	
peasgoodandskeates.co.uk	Your Local Funeral Directors of Choice - Peasgood and Skeates	01223 415255;01223 791060	
printcambridge.co.uk	minuteman press cambridge	01223 312 688	studio@minutemanpress.com
questbrothersclassiccars.com	quest brothers classic cars	01480 700750	info@questbrothersclassiccars.com
reform-fit.co.uk	Reform Fit: Cambridge - Saffron Walden - Pilates, Yoga	01799 530 650	
regency-autos.co.uk	Regency Autos	01223 324050	
regencyfuneraldirectors.co.uk	Caring Family-Run Team | Regency Funeral Directors	01480 759 408	
roystonmarqueehire.co.uk	Party Marquees, Birthdays, Anniversaries, Cambridgeshire, Bedfordshire	01223 926747	enquiries@roystonmarqueehire.co.uk
sarahkeybooks.co.uk	Sarah Key Books - The Haunted Bookshop	07720 146679	
savvy-design.co.uk	Website & Logo Designer Near Me - Website Design Cambridge UK | Savvy 	01223 570 730;07976 170 729	
scotsdales.com	Homepage - Scotsdales	01223 842777;01223 860320	
sportscentre.perse.co.uk	Perse Sports Centre - The Perse School	01223 403977	sportscentre@perse.co.uk;swimschool@perse.co.uk
sportsshopuk.co.uk	Tennis Shop Cambridge - Top Spin Tennis - Professional Racket Stringin	01223 241956	
tekmotiv.co.uk	Tekmotiv | Electric Bike Shop | Cambridge | Home	01799 525777	
tevershammotors.co.uk	Teversham Motors, Cambridge, UK - Classic and Kit Cars	01223 293041	enquiry@tevershammotors.co.uk
theentertainmentguide.co.uk	Cellini Jewellery - The Entertainment Guide	01223 517700	
thefields.cambs.sch.uk	The Fields Nursery School - Cambridge	01223 518333	office@thefields.cambs.sch.uk
tradesmenup.co.uk	Alessio Maiorana & Sons Cambridge | Upholstery | Furniture	01223 845448	
traditionalrestorationscambridge.co.uk	Furniture restorer | Traditional Restorations	07932 611184	
trotteranddeane.co.uk	trotter & deane	01223 603050	bury@trotteranddeane.com;cambridge@trotteranddeane.com
twitchettarchitect.com	Chartered Riba Architect in Cambridge Extensions residentail private c	07711 563090	
unilocal.net	Relief Chiropractic – Cambridge, Grain House Mill Court G… (Reviews, a	01223 459240	
vets4pets.com	Cambridge Beehive Vets | Open Saturday & Sunday | Vets for Pets	01223 656 965	
wexphotovideo.com	Wex Photo Video Cambridge | Wex Photo Video	01223 650287	
whitewonderselypetservices.co.uk	Dog Training, Walking and Pet Sitting Services in Ely, Cambs	07445377175	info@whitewonderselypetservices.co.uk
willinghamfuneralservice.co.uk	Funeral directors | Willingham Funeral Service	01954 261 999	
willowgrange.co.uk	willow grange tackle and bait	01353 649573	
