cambridgeimprinttradeshop.co.uk	CambridgeImprintTradeShop - About us	01223 921991	info@cambridgeimprint.co.uk
cambridgejoinery.co.uk	cambridge joinery limited	01954 260580	sales@cambridgejoinery.co.uk
cambridgeltc.com	Coaching	07720 824409;07752 286624	info@cambridgeltc.com
cambridgepodiatry.co.uk	Cambridge Chiropody and Podiatry	01223 322636	info@cambridgepodiatry.co.uk
cambridgepropertylettings.co.uk	Trevor Hames	01223 322277	
cambridgeshirefoothealthcare.co.uk	Cambridgeshire Foot Health Care	01954 271032;07921 918269	
cambridgeshiregardendesign.co.uk	Cambridgeshire Garden Design | HOME	01223 646 680	
cambridgetourguide.co.uk	Cambridge Pubs	01223 247 761;01223 305544	
cambridgetouristinformation.co.uk	Independent Pubs - Cambridge Tourist Information	01223 316722;01223 355068	
cambridgewine.com	Cambridge Wine Merchants: Home	01223 214553;01223 309311	ampthill@cambridgewine.com;bridge@cambridgewine.com
cambsprinting.com	VIEW ALL PRODUCTS	01223 423 576;01223 423576	
cardetailingcambridgeshire.co.uk	Car Detailing Cambridgeshire | Vehicle Detailing | Paint Correction	01480 533683;01480533683	
carpintree.co.uk	carpintree — Custom Cabinetry & Bespoke Joinery	07890 353 855	pete@carpintree.co.uk
cellini.co.uk	Cellini Jewellers Cambridge | Bespoke Fine Jewellery Since ...	01223 517700	jewellery@cellini.co.uk
citiservi.co.uk	Cambs Antiques Centre, Cambridge | Antique Dealers Citiservi UK	01223356391;01223652740	
clarendonstreetvets.co.uk	About us — Clarendon Street Veterinary Surgery	07939074682	dlw33@cam.ac.uk;info@duttonreferrals.co.uk
clipnclimbcambridge.co.uk	About Us	01223 941 700	
concept-carpentry.co.uk	Bespoke Carpentry and Joinery | Concept-Carpentry Cambridge	01954 602974	info@concept-carpentry.co.uk
confetti.co.uk	Cambridge Bridal Studio, Willingham | Bridal Shops | Confetti	01223430043	
counsellingwithmadeleine.co.uk	Madeleine Gooding Counselling in Cambridge | Online Child ...	07802 657722	
cozipiercing.co.uk	About Us	07790 726353	
cream-rose.co.uk	Cream Rose | Cambridge Huntingdon | Mother of the Bride or Groom	01480 461187	
cristiansdrivingschool.co.uk	Driving Instructor Cambridge - Cristian's Driving School	07780 105533;07780105533	105533info@cristinasdrivingschool.co.uk
crystal-valeting.co.uk	crystal car valeting ltd	07920 522005	
cubiq.co.uk	Design Agency Cambridge | Packaging, Graphic & Web ...	01638 666432	
curtc.net	About Us | Cambridge University Real Tennis Club	01223 357106	pros@curtc.net
cuttingedgepodiatry.co.uk	Cutting Edge Podiatry: Podiatrist Cambridge | Podiatry ...	01223 633 038	
cvsvets.com	Arbury Road Veterinary Centre | CVS Vets	01223 361 911	
daviddeanantiques.co.uk	About – David Dean	07967 623621	deananticadena@gmail.com
deavesonsjewellers.co.uk	Bespoke Jewellery Design | Custom Pieces | Deavesons	01480 414 932;01480 414932	
detailedauto.co.uk	Industry leading 
car detailing	07307 367570	
dissantiques.com	Antique Jewellery Repairs Cambridge | Antique Jewellery Repairs Norfol	07807 912040	sales@dissantiques.com
dogdaycarecambridgeshire.co.uk	Dog Day Care Cambridgeshire | Doggy Day Care | Dog Boarding	07779771819	
driveonschoolofmotoring.co.uk	DriveOn School of Motoring | Driving Lessons in Cambridge	07971852470	randallstephen63@outlook.com
ecenglish.com	Learn English in Cambridge - Study English with EC	01223 464364;07342037743	
fhinds.co.uk	F.Hinds the Jewellers Cambridge	01223 341037	
findpetgroomers.co.uk	Hannah’s Hairy Hounds Cambridge - Expert Dog Grooming in Sawston	07528 435884;07949 490934	
fineandcountry.co.uk	Lee Taylor | Cambridge and Newmarket Estate Agents	01223 297898;07939 949 172	lee.taylor@fineandcountry.com
footprintsignsandgraphics.com	Footprint Signs & Graphics | Sign Maker | Sign Writing	01223 608082	info@footprintsigns.co.uk
freepresscambridge.com	THE FREE PRESS	01223 368337	contact@freepresscambridge.com
gardendesigncambridge.co.uk	Garden Design Cambridge	01223 782314	
goddenshomeinteriors.co.uk	Goddens Bespoke Shutters, Blinds & LVT Flooring | Cambridgeshire	07507 528098	
histonfootcare.co.uk	Histon Foot Care	07762 711 916	
hiveantiques.com	The Hive – Phone: 01223300269. Email: hiveantiques@live.co.uk	01223 860319;01223300269	hiveantiques@live.co.uk
hkjewellery.co.uk	Harriet Kelsall Bespoke Jewellery | Your Story, Your Design ...	01223 461333	cambridge@hkjewellery.co.uk;enquiries@hkjewellery.co.uk
houzz.co.nz	TIM BOWDIN BESPOKE FURNITURE & CABINETS - Project Photos & Reviews - C	07484 719911	
ibegin.com	Ernest Jones in Cambridge, Cambridgeshire CB2 3NA - 01223 324791 - iBe	01223 324791	customer.services@ernestjones.co.uk
jewelersaround.co.uk	Harriet Kelsall Bespoke Jewellery - Jeweller in Cambridge, Cambridgesh	01223 461333	
johnbeazorantiques.co.uk	John Beazor Antiques | 18th and Early 19th Century Antiques	01223 355 178;07774 123 379	martin@johnbeazorantiques.co.uk
lanpro.co.uk	James Rennie - Director of Masterplanning and Urban Design	07467 854201	
ldluxurydetailing.co.uk	Detailing | LD Luxury Detailing | Cambridge	07511404990	
leaders.co.uk	Lettings and Estate Agents in Cambridge	01223 081 798	cambridge@leaders.co.uk
maioranaupholstery.co.uk	About Us - Maiorana Upholstery Cambridge	01223 845448	info@maioranaupholstery.co.uk
medivetgroup.com	Vet in Impington | Open Saturdays | Medivet	01223 232111;01480 463170	impington@medivet.co.uk
motorcyclemagic.uk	Motorcyclemagic	07751 902454	
namastebazaar.co.uk	About Us - Namaste Bazaar	01223 583379	
newdawnblinds.co.uk	Shutters and Blinds in Cambridge	01763 243894	info@newdawnblinds.co.uk
oldcrowngirton.com	The Old Crown Girton | Historic Pub Near Cambridge with Nepalese Food	01223 277217	
parkerplanningservices.co.uk	Cambridgeshire Planning Consultancy & Support	01223 637283	contact@parkerplanningservices.co.uk
peachyprintltd.co.uk	Peachy Print | Digital &amp; Print Graphic Design Cambridge	07816 459824	sophie@peachyprintltd.co.uk
pendredprinting.com	Pendred Printing – Printing in Cambridge, made easy!	01223 356 396;07906 868 240	info@pendredprinting.com
planninghouse.co.uk	Cambridge Town Planning Consultants	07944844882	info@planninghouse.co.uk
punting.com	Punting in Cambridge | Scudamore’s Punting Company	01223 359750	
rah.co.uk	Meet the Team	01223 819302;01223 819306	acarolan@rah.co.uk;aelbrow@rah.co.uk
rathbones.com	Cambridge Financial Advice	01223 229 229	
recommendedcompany.co.uk	Tattooing By Fabio Cambridge, Cambridgeshire CB1 Tattoos & Piercings	01223 214109;01223 300236	
redmonsterprint.co.uk	Large Format Printing Cambridge | Roller Banners, Vinyl Banners, Poste	01223 837799	
relicsofretro.co.uk	Relics of Retro I Specialising in mid-century & vintage furniture	07590146893	info@relicsofretro.co.uk
retroshedcambridge.co.uk	Auto Memorabilia & Classic Toys | Retro Shed Cambridge	07593 553253	
reviewsummary.co.uk	The Punter Reviews Summary	01223363322	
revolution-bars.co.uk	Cocktail Bars in Cambridge | Restaurant & Nights Out at ...	01223 364895	
riasinteriors.co.uk	Curtains, Blinds & Shutters Cambridge	01223 640602	ria@riasinteriors.co.uk
ricsfirms.com	Whitworth - RICS Find a Surveyor	01223 675911	complaints@rics.org;regulation@rics.org
riromooneyantiques.co.uk	riro mooney antiques	07912224567	riro.mooneyantiques@gmail.com
rmwilliams.com	Cambridge | R.M.Williams®	01223631477	
ryman.co.uk	Cambridge	01223 650 399	
sab.co.uk	Sab Property | Independent Letting Agents | Property ...	01223352170;01480756406	cambridge@sab.co.uk;hertford@sab.co.uk
sageblinds.co.uk	Curtains, Blinds, Shutters & Awnings from Sage Blinds & Interiors, Mel	01763 263399	hello@sageblinds.co.uk
sausagereview.co.uk	The Gog Farm Shop (Cambridge) - Traditional	01223 248352	
sbprinting.co.uk	Printers in Cambridge and Suffolk - SB Printing	01223 891286	
securecarsolutions.com	Classic Car Maintenance in Cambridge - Articles - Secure Car Solutions	07557 348237;07709 249871	
sellingantiques.co.uk	John Beazor Antiques | About Us | Sellingantiques.co.uk	01223 355178;07774 123 379	
shades-of-white.co.uk	Shades of White | Cambridgeshire, UK Wedding Dress Shop	01480 464774	
sngardendesign.co.uk	Sylvia Newman: Bespoke Garden Design Cambridge	01954 583239	contact@sngd.co.uk
sportscentre.perse.co.uk	Climbing Wall, Swimming Pool and Indoor Sports Hall	01223 403977	sportscentre@perse.co.uk;swimschool@perse.co.uk
sproctor.co.uk	About | S L Proctor Upholstery	07549 388200	
staffordhouse.com	English School in Cambridge	01223 341 333	
stepwisefootcare.co.uk	The Leading Podiatry Team in Burwell | About Stepwise Footcare	01638 741973	
sunriseblinds.co.uk	Blinds, Awnings, Shutters & More | Sunrise Blinds	01638 668447	enquiries@sunriseblinds.co.uk
tattoocrazy.co.uk	Tattoo Crazy - Tattoo and Piercing Studio	01223 305635	
tc-group.com	Accountants in Cambridge - TC Thompson Taraz Rand	01223 352823;01223 461044	enquiries@tc-group.com;mariepegram@tc-group.com
tevershamclassics.co.uk	Teversham Classics, Cambridge, UK - MOT test centre and garage for cla	01223 293041	
thealexcambridge.com	The Alex Cambridge – Burgers – Beer – Banter -and lots more!	01223 324441	
thecambridgebelfry.co.uk	Spa in Cambridgeshire | The Cambridge Belfry Hotel	01954 714 600	
theprogenygroup.com	Wealth Management & Financial Advice in Cambridge	01954 233 650	
timjenningsdesign.co.uk	Home | Tim Jennings | RHS Award Winning Garden Designer in Cambridge a	07931 278692	tim@timjenningsdesign.co.uk
toetalfoot.com	Toe-Tal Footcare I Foot Health Clinic Cambridge	07738 491800	footcarebylorraine@yahoo.co.uk
tradesmenup.co.uk	Cambrewood Cambridge | Furniture | Workshops	01223 316603;01480 435808	
ukbride.co.uk	Cambridge Bridal Studio | Mother of the Bride in Cambridge	01223 430043	
vets4pets.com	Cambridge Beehive Vets | Open Saturday & Sunday | Vets for Pets	01223 656 965	
vetverified.com	Cambridge Veterinary Group in Cambridge (Cambridge), Cambridgeshire - 	01223 249331;01223 608 213	exotics@cambridgevetgroup.co.uk;info@cambridgevetgroup.co.uk
wandpblinds.co.uk	W&P Blinds | Made to measure blinds and curtains in Cambridge | Since 	01223 243 030	
weddingmall.co.uk	Anstey Hall	01223 474 971;07895 389 223	
wilcodirect.co.uk	Wilco Motor Spares at Milton Road, Cambridge	01223 355 113;01223 355113	
xlpress.co.uk	Printers in Cambridge | Litho, Digital & Large Format | XL Press	01223 921 931;01223 921931	
yourtimecounsellingcare.com	About Me - Your Time Counselling Care	07840 883994	contact@yourtimecounsellingcare.com
